note_id,created_at,researcher,related_interview_id,participant_id,note_type,content,product_area_tag,priority,sentiment
RN-0001,06/30/2024 02:23,David Kim,,P-063,pain point,"""I can't believe I have to do this every single day"" — on the 12-click process to configure payment method for their use case via payment method in payment section. This is our #1 daily-use pain point.",billing/payments,high,neutral
RN-0002,"March 1, 2024",Laura Martinez,,P-118,insigth,mental model mismatch on faceted search placement,,medium,neutral
RN-0003,2024-04-07 02:21:34,James Chen,,,action_item,Coming out of today's session I think we need to immediately address the SSO provisioning entry point in team management. Five of six participants struggled to add missing SSO provisioning capability and the pattern is crystal clear. I'm going to create a recommendation doc this week with screenshots from the sessions and proposed IA changes. @James Chen please review before I share with product. I want this on the table before next sprint planning.,user-management,medium,mixed
RN-0004,"January 11, 2024",David Kim,INT-020,P-048,quote,"""This is the one thing that actually works the way I expect"" — P-048 on advanced filters in search interface. Unprompted. Only positive comment in entire session. — links to PROJ-8587",,,
RN-0005,07/05/2024 23:36,Maria Santos,,P-092,,"## Insight
- Pattern: mobile dashboard is the most frequently mentioned unmet need in mobile view
- Evidence: Raised by P-092 and 3 other participants unprompted
- Root Cause: Competitive products offer this as a default; our implementation requires manual setup
- Implication: Prioritize mobile dashboard automation to reach feature parity",,,positive
RN-0006,2024-01-27 01:48:33,Laura Martinez,,,feature_req,keyboard shortcuts for integrations hub,third_party,low,
RN-0007,2024-03-07 07:44:34,Maria Santos,,P-013,feature_request,"## Feature Request
- Request: Integration between user settings SSO provisioning and external tools
- Requester: P-013
- Use Case: Team uses Slack/Jira/Notion alongside our tool; need SSO provisioning data to flow between them when they access SSO provisioning programmatically
- Priority: High — ecosystem integration is a decision factor for renewals
- Similar Requests: Top request in last NPS survey
- Suggested Implementation: Webhook-based or native integration for SSO provisioning events",,medium,
RN-0008,2024-06-21 14:50:53,Aisha Patel,INT-030,P-046,quote,"- ""this actually works great"" - P-046
- on mobile dashboard in mobile section
- rare positive feedback
- study what makes this work
- replicate pattern",,low,
RN-0009,2024-09-07 13:05:05,Aisha Patel,INT-033,P-017,quote,"- ""it used to take 3 days, now 3 hrs""
- P-017 on API keys
- progress but not enough
- third-party section still slow
- bar keeps rising — cc JIRA-2707",third_party,medium,
RN-0010,"June 12, 2024",James Chen,,,feature_request,P-??? asked for something that I think could be a game-changer — bulk share field mapping configurations with team in import wizard. Right now field mapping only works one at a time and their team processes 200+ items daily. They described this elaborate workaround involving CSV exports and reimports that takes over an hour. A native batch operation would probably save their team 5+ hours per week. I've heard variations of this from at least three other participants now.,,,mixed
RN-0011,"June 17, 2024",Aisha Patel,,P-086,observation,"- opened billing page
- scanned for payment method
- clicked 4 wrong things
- finally found it
- said 'that's not obvious'
- suggest label change",billing,low,negative
RN-0012,2024-05-16 17:51:58,Laura Martinez,INT-029,P-010,insight,"advanced filters should be automatic, not manual",,medium,
RN-0013,2024-04-21 20:59:51,Aisha Patel,INT-033,P-070,observation,"- usr tried to navigate to seat management
- couldn't find seat management
- went to wrong section first
- visible frustration
- same issue as P-070",billig,low,
RN-0014,08/24/2024 21:37,Maria Santos,,P-077,observation,"## Observation
- Context: Returning participant (P-077) revisited mobile section after 2-week gap
- Behavior: Could not recall how to complete the push notifications workflow — had to re-learn the push notifications steps
- Impact: Poor learnability / memorability for infrequent tasks
- Recommendation: Provide a quick-reference or recently-used panel for push notifications @maria",,,
RN-0015,07/26/2024 10:58,Maria Santos,INT-961,,action_item,"## Action Item
- Task: Redesign user deactivation entry point in people section
- Owner: @Maria Santos to create recommendation doc; @product to prioritize
- Evidence: 5/6 participants struggled to redesign user deactivation interface — see sessions P-041 through P-046
- Priority: High
- Deadline: Before next sprint planning
- Dependencies: Need IA audit results from @Maria Santos",,,
RN-0016,06/09/2024 10:02,Maria Santos,INT-001,P-008,,"## Insight
- Pattern: Users with admin roles consistently struggle to understand bulk user invite results in people section
- Evidence: 4 of 6 participants had difficulty locating bulk user invite
- Root Cause: Mental model mismatch — users expect bulk user invite under settings, not under people section
- Implication: Information architecture redesign needed for this section",users,medium,
RN-0017,2024-03-26 13:13:34,Laura Martinez,,P-032,pain_point,main dashboard perf terrible at scale,,high,
RN-0018,2024-02-25 03:10:28,Laura Martinez,,P-003,observation,usr confused by dashboard sharing location,dashboard,,negative
RN-0019,2024-01-13 03:47:38,Laura Martinez,,P-119,pain_point,no undo — user lost work on API versioning,api,high,mixed
RN-0020,2024-06-29 00:09:24,Aisha Patel,INT-025,P-031,observation,"- opened search interface
- scanned for advanced filters
- clicked 4 wrong things
- finally found it
- said 'that's not obvious'
- suggest label change (necesitamos investigar más)",,,
RN-0021,,Laura Martinez,,,action_item,spec saved presets — easy win for developer portal,,high,neutral
RN-0022,2024-02-19 09:47:58,Aisha Patel,INT-015,,,"- TODO: redesign notification preferences entry point
- owner: @Aisha Patel + @product
- 5/6 participants struggled to improve notification preferences performance
- high priority
- before next sprint planning
- need IA audit first",notifications,high,neutral
RN-0023,2024-02-12 09:28:38,Maria Santos,INT-021,P-088,action_item,"## Action Item
- Task: Share overview page findings about data refresh with engineering team
- Owner: @Maria Santos
- Evidence: P-088 and others blocked by technical limitations
- Priority: High
- Deadline: This week
- Dependencies: Schedule sync with tech lead",home,,
RN-0024,02/11/2024 06:09,James Chen,INT-033,P-028,participant_quote,Powerful moment at the 25 minute mark — P-028 stopped mid-task and said 'I spend more time fighting pivot tables than actually doing my job.' They were trying to explain pivot tables to a colleague in analytics area and had just hit the same error for the third time. The emotional weight behind that statement was palpable. This captures what I think is the core issue — the tool is becoming an obstacle rather than an enabler.,,low,mixed
RN-0025,01/20/2024 23:22,Maria Santos,INT-013,P-032,pain_point,"## Pain Point
- Issue: Mobile experience for bulk search in search interface is essentially broken
- Severity: High for mobile-reliant users
- Frequency: Any mobile access attempt
- User Impact: P-032 cannot export data using bulk search when away from desktop
- Suggested Fix: Responsive redesign of bulk search or dedicated mobile flow",,medium,positive
